score	rank	listing_page	project_machine_name	title	project_url	reasons	teaser
147	710	28	nigraphic	niGraphic Studio Theme	https://www.drupal.org/project/nigraphic	simple+responsive+older+	niGraphic Studio Theme is a very light-weight, CSS-based, tableless template, with 2 columns made by niGraphic Design. Try out a demonstration Features Fixed width with 2 columns Random rotating...
147	714	28	colorfulness_theme	Colorfulness	https://www.drupal.org/project/colorfulness_theme	simple+responsive+older+	Colorfulness Theme is a very light-weight, CSS-based, tableless template, with 2 or 3 columns made by niGraphic Design. Try out a demonstration Features Supports RTL & LTR languages Fixed width...
147	721	28	basic	Basic	https://www.drupal.org/project/basic	simple+responsive+older+	Basic boasts a clean HTML5 structure with extensible CSS classes for unlimited theming possibilities as well as a top-down load order for improved SEO. It is fully responsive out-of-the-box and...
146	697	27	bluefreedom3	Blue Freedom 3 (Rounded Corners)	https://www.drupal.org/project/bluefreedom3	simple+responsive+older+	A simple, fixed width, theme with a blue header. This theme was inspired by the of works of the Open Source Web Design community. This theme is almost an exact port of the static template into...
146	653	26	dessert	Dessert	https://www.drupal.org/project/dessert	simple+responsive+older+	Dessert is a theme created by Outcome3. Dessert is a simple, fixed width, layout, with a dessert themed colour scheme. A Demo of this theme is available.
146	661	26	energetic	Energetic	https://www.drupal.org/project/energetic	simple+responsive+older+	The Energetic Drupal theme features a clean, light layout with a blue and orange colour scheme. Features: Support for logo, primary links, mission, shortcut icon and user pictures Fixed width...
146	674	26	ishalist	Ishalist	https://www.drupal.org/project/ishalist	simple+responsive+older+	A Minimalism theme for people who can appreciate simplicity. Features Fixed width and sidebar-less Tabs for primary links Large typography and plenty of whitespace CSS based (table less design) The...
145	626	25	simpler	Simpler	https://www.drupal.org/project/simpler	simple+responsive+older+	Simpler is a simple, tableless, multi column and fluid width theme. This theme is designed to pamper the reader, this can be seen from the choice of font family, font size and color. Visit Demo...
145	601	24	floater	Floater Theme	https://www.drupal.org/project/floater	simple+responsive+older+	This is a basic theme intended for sites that want to get away from the column feel, yet want to have a fluid look. This approach uses fixed-width content area to help ensure readability, while...
145	607	24	redsalute	Red Salute	https://www.drupal.org/project/redsalute	simple+responsive+older+	Red Salute is a port of the Bubbles template from Joomla. It is a clean theme with a div based, fixed width, 2-column layout (content+right sidebar). The original Joomla theme was created by...
145	618	24	templist	Templist	https://www.drupal.org/project/templist	simple+responsive+older+	This is a port of the templist theme from Joomla. Templist is a clean theme with a div based, fixed width, 2-column layout (content+left sidebar) with rounded corners and 3 color design. The...
145	620	24	shakennotstirred	Shaken not stirred	https://www.drupal.org/project/shakennotstirred	simple+responsive+older+	"Shaken not stirred" theme is nice, clean and modern drupal theme. Fixed width (865px) Tableless (css based) Tested in firefox 3+, chrome, opera9.x, safari3, ie6+ Created by ADCI solutions team
145	621	24	jq_theme	jQ Theme	https://www.drupal.org/project/jq_theme	simple+responsive+older+	This is a port of the popular jQ theme from Wordpress. jQ is a clean theme with a div based, fixed width, 2-column layout (content+right sidebar). The original wordpress theme was created by...
145	622	24	icandy	iCandy	https://www.drupal.org/project/icandy	simple+responsive+older+	7.x port released This is a port of the popular iCandy theme from Wordpress. iCandy is a clean theme with a div based, fixed width, 2-column layout (content+right sidebar). The original wordpress...
143	549	21	bartik_fb	Bartik Facebook	https://www.drupal.org/project/bartik_fb	simple+responsive+older+	This is a simple subtheme of Bartik theme that comes with Drupal 7 for using with Drupal for Facebook module. This subtheme is a fixed width, 760px wide theme, to be used for iframe based Facebook...
143	503	20	academia	Academia	https://www.drupal.org/project/academia	simple+responsive+older+	Academia is a clean and elegant theme focused on clarity and readability. It is suitable for informational sites with lots of text to convey to users. Clean and elegant Fixed width main column for...
