machine_name,name,project_url,created,changed,author,install_count_7x,security_coverage,maintenance_status,development_status,has_screenshots
bootstrap,Bootstrap,https://www.drupal.org/project/bootstrap,2012-11-12,2025-11-09,wundo,35543,covered,Actively maintained,Under active development,true
beta,Beta,https://www.drupal.org/project/beta,2010-04-11,2014-12-01,himerus,4,not-covered,Actively maintained,Under active development,true
koi,Koi,https://www.drupal.org/project/koi,2010-04-10,2014-12-02,jarek foksa,30,covered,Seeking new maintainer,No further development,false
smashing_dilectio,Smashing Dilectio,https://www.drupal.org/project/smashing_dilectio,2010-04-07,2017-03-28,Unsupported Projects,,not-covered,,Obsolete,true
danland,Danland,https://www.drupal.org/project/danland,2010-04-06,2022-12-27,danpros,1989,covered,Minimally maintained,Maintenance fixes only,true
corolla,Corolla,https://www.drupal.org/project/corolla,2010-03-28,2017-11-23,Jeff Burnz,1419,covered,Actively maintained,Under active development,true
alphorn,Alphorn,https://www.drupal.org/project/alphorn,2010-03-27,2014-12-02,hungdo,49,covered,Actively maintained,Under active development,true
templist,Templist,https://www.drupal.org/project/templist,2010-03-23,2018-06-19,zyxware,3,covered,Minimally maintained,Maintenance fixes only,true
chocotheme,CHOCOTheme,https://www.drupal.org/project/chocotheme,2010-03-18,2015-12-16,zyxware,2,covered,Actively maintained,Under active development,true
shakennotstirred,Shaken not stirred,https://www.drupal.org/project/shakennotstirred,2010-03-12,2019-08-12,adcillc,15,covered,Minimally maintained,Maintenance fixes only,true
jq_theme,jQ Theme,https://www.drupal.org/project/jq_theme,2010-03-12,2016-03-10,zyxware,2,covered,Minimally maintained,Maintenance fixes only,true
icandy,iCandy,https://www.drupal.org/project/icandy,2010-03-09,2015-12-16,zyxware,4,covered,Actively maintained,Under active development,true
chamfer,Chamfer,https://www.drupal.org/project/chamfer,2010-02-22,2016-02-23,btopro,6,covered,Actively maintained,Under active development,true
bartik,Bartik,https://www.drupal.org/project/bartik,2010-02-22,2025-09-18,jensimmons,9,covered,Minimally maintained,Maintenance fixes only,true
web110,web110,https://www.drupal.org/project/web110,2010-02-20,2014-11-27,tlattimore,3,covered,,Under active development,true
simpler,Simpler,https://www.drupal.org/project/simpler,2010-02-18,2014-12-02,danpros,21,not-covered,Actively maintained,Under active development,true
admire_grunge,Admire Grunge,https://www.drupal.org/project/admire_grunge,2010-02-13,2014-12-02,sakib000,68,covered,Minimally maintained,Maintenance fixes only,true
conch,ST Conch,https://www.drupal.org/project/conch,2010-02-10,2014-12-02,hungdo,14,covered,Actively maintained,Under active development,true
busy,Busy,https://www.drupal.org/project/busy,2010-01-17,2022-01-10,stborchert,343,covered,Minimally maintained,Under active development,true
at_panels_everywhere,AT Panels Everywhere,https://www.drupal.org/project/at_panels_everywhere,2010-01-14,2014-12-02,Jeff Burnz,50,not-covered,Actively maintained,Under active development,false
orange,Orange,https://www.drupal.org/project/orange,2009-12-11,2014-12-02,nomonstersinme,26,covered,,,false
bluecheese,Bluecheese,https://www.drupal.org/project/bluecheese,2009-12-05,2025-07-03,drumm,1,covered,Actively maintained,Under active development,false
gardening,Gardening,https://www.drupal.org/project/gardening,2009-11-24,2014-12-02,cssdru,6,covered,Actively maintained,Under active development,true
async,A Sync Template,https://www.drupal.org/project/async,2009-11-23,2014-12-02,finex,26,covered,Actively maintained,Under active development,true
abstract,Abstract,https://www.drupal.org/project/abstract,2009-11-17,2019-02-22,ipwa,1,covered,Actively maintained,Under active development,true
gateway,Gateway,https://www.drupal.org/project/gateway,2009-11-16,2019-01-26,ipwa,16,covered,Actively maintained,Under active development,true
diary,Diary,https://www.drupal.org/project/diary,2009-11-09,2014-11-27,jix_,2,not-covered,Unsupported,No further development,true
travel,Drupal Travel,https://www.drupal.org/project/travel,2009-11-03,2014-11-27,cssdru,2,covered,Minimally maintained,Maintenance fixes only,true
panels_960gs,Panels 960gs (HTML5),https://www.drupal.org/project/panels_960gs,2009-10-21,2014-12-02,bensnyder,5,covered,Minimally maintained,No further development,false
active_n_rebuild,Active nRebuild,https://www.drupal.org/project/active_n_rebuild,2009-10-18,2014-12-02,maxrys,1,covered,Unsupported,No further development,true
